source	url	http_status	title	meta_description	canonical	og_image	h1
page	https://matteocurcio.com/	200	Matteo Curcio | Colorist, Editor &amp; Motionographer | Melbourne	Matteo Curcio is a Melbourne based colourist, editor and motionographer specialised in TVC, advertising, narrative, docos, and web content	https://matteocurcio.com/	https://matteocurcio.com/wp/wp-content/uploads/6135D25B-C2DE-41C8-A126-1C168C59AE4F.jpg	
page	https://matteocurcio.com/about	200	About | Matteo Curcio		https://matteocurcio.com/about	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
post	https://matteocurcio.com/blog	200	Matteo Curcio | Blog		https://matteocurcio.com/blog	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
post	https://matteocurcio.com/capture-craft-workshop	200	Capture &amp; Craft Workshop | Matteo Curcio		https://matteocurcio.com/capture-craft-workshop	https://matteocurcio.com/wp-content/uploads/471160288_18453342556071934_8362558999807680283_n.jpg	
category	https://matteocurcio.com/category/blog	200	blog Archives | Matteo Curcio		https://matteocurcio.com/category/blog	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/feature	200	Feature Archives | Matteo Curcio		https://matteocurcio.com/category/feature	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/immersive-media	200	Immersive Media Archives | Matteo Curcio		https://matteocurcio.com/category/immersive-media	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/online	200	Online Archives | Matteo Curcio		https://matteocurcio.com/category/online	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/original-music	200	Original Music Archives | Matteo Curcio		https://matteocurcio.com/category/original-music	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/photography	200	Photography Archives | Matteo Curcio		https://matteocurcio.com/category/photography	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/presentation-design	200	Presentation Design Archives | Matteo Curcio		https://matteocurcio.com/category/presentation-design	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/reels	200	Reels Archives | Matteo Curcio		https://matteocurcio.com/category/reels	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/reels-color	200	Reels | Color Archives | Matteo Curcio		https://matteocurcio.com/category/reels-color	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/reels-events	200	Reels | Events Archives | Matteo Curcio		https://matteocurcio.com/category/reels-events	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
category	https://matteocurcio.com/category/tvc	200	TVC Archives | Matteo Curcio		https://matteocurcio.com/category/tvc	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
post	https://matteocurcio.com/digital-literacy-and-content-creation-interview	200	Digital literacy and content creation (interview) | Matteo Curcio		https://matteocurcio.com/digital-literacy-and-content-creation-interview	https://www.rmit.edu.au/content/dam/rmit/au/en/library/adobe/matteo-adobe-coach.jpg	
page	https://matteocurcio.com/faq	200	faq | Matteo Curcio		https://matteocurcio.com/faq	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
footer	https://matteocurcio.com/footer/footer-duplicate	200	footer | Matteo Curcio		https://matteocurcio.com/footer/footer-duplicate	https://matteocurcio.com/wp-content/uploads/borouge_day2_1000.jpg	
